User Name,Original Tweet,Normalized Tweet,Negative,Neutral,Positive,Compound Score,Class Label
AuslanderIi,"There at least four times as many Muslims as there are Jews in the Judeo-Christian-heritage UK. 

And the Muslim birthrate ensures stratospheric further rise in Muslim numbers.

Govt bows to alien Muslimism &amp; all its anti-social features, not just halal. https://t.co/BUEWVezx2a",time muslims jew judeo christian heritage uk muslim birthrate ensure stratospheric rise muslim govt bow alien muslimism anti social feature halal,0.053,0.947,0,-0.3182,1
SandwichTrades,"@AkakiSam @TheEconomist @Pride The British and all of their former colonies are the most tolerant nations towards homosexuals.

You blame tolerant Christians but not intolerant Muslims who throw homosexuals off buildings?

Just admit youÃÂ??re racis",british colony tolerant nation homosexual blame tolerant christian intolerant muslim throw homosexual building admit racist agai,0.172,0.694,0.134,-0.5584,1
nicmichelakos1,"@TimesofIsrael Historic waste of time &amp; money by Pope. Catholicism and Christianity isn't causing violence, extremism and death in Iraq and rest of ME and near regions-its Islamic political and religious ideology of intolerance, hatred, racism, jihad ",historic waste time money pope catholicism christianity isn cause violence extremism death iraq rest near region islamic political religious ideology intolerance hatred racism jihad,0.381,0.619,0,-0.9643,1
Zul10000,"I respect everyone's political opinion but i am unable to understand some Ahmadi Muslims celebrating win of a political party which has opened the pandora box of hatred &amp; intolerance against us. I am sorry, i just can't. It reminds me of the sufferings of my people back home.",respect political opinion unable understand ahmadi muslim celebrate win political party pandora box hatred intolerance sorry remind sufferings people home,0.121,0.616,0.264,0.8625,0
justummeh,@007bold @sleepinghindu_ @hinduoncampus Jaise mere ek comment par aa gaye tum log.. This just shows ur intolerance against Muslims. And also my right to freedom of expression bring taken away. Samaj aaya Bhakt?,jaise mere ek comment par aa gaye tum log ur intolerance muslim freedom expression bring samaj aaya bhakt,0,0.873,0.127,0.6369,0
MrSevenPoint5,"@kyussknight @Teddybloat1 @DaveClips The vast majority of Muslims are bigots. And being against their bigotry, in your mind, exposes me as a bigot. Please grow up and stop tolerating intolerance",vast majority muslim bigot bigotry mind expose bigot grow stop tolerating intolerance,0.128,0.793,0.079,-0.1027,1
AbdulGhafarMayo,"There are continuing acts of intolerance and violence based on religion or belief against individuals ÃÂ?? particularly Muslims in India.

#FascistNaziIndia",continue act intolerance violence base religion belief individual particularly muslim india fascistnaziindia,0.177,0.823,0,-0.6249,1
preeteshkumar11,"@azad_nishant thats how they create narratives of intolerance,so called Islamophobia,muslim oppression,saffron terror by hiding/suppressing 1000's of anti hindu hate crimes&amp;by highlighting/chest beating even noncommunal crimes against muslims.vultures",nishant thats create narrative intolerance call islamophobia muslim oppression saffron terror hide suppress 00 anti hindu hate crime highlight chest beat noncommunal crime muslims vulture,0.367,0.587,0.046,-0.93,1
burweila,"@snakhooda @C_Clausewitz I think the best term to use is anti-Muslim prejudice, it's more accurate, very real and grounds the trangression against human beings-not ideology. Islamists aim to wrongfully conflate Islam with Islamism so that they can abuse I",clausewitz term anti muslim prejudice accurate real ground trangression human ideology islamist aim wrongfully conflate islam islamism abuse,0.204,0.708,0.088,-0.6808,1
_niaz__,"@DrJavadTHashmi @JonathanACBrown @AkyolinEnglish I get your point, on ""countering"" the accusation that Hadith skepticism is a ""western idea"" and not a ""Muslim one"".

But the truthfulness of an idea does not depend on who said it first.

Only reason we wou",counter accusation hadith skepticism western idea muslim truthfulness idea depend reason wou,0.103,0.827,0.07,-0.0772,1
sundersays,"@yakleftie @jdportes @PearsInstitute His point seems clear to me. Jewish-Muslim social action is a trojan horse plot to normalise Zionism (when this is a project to increase meaningful contact, promote good relations, and help to counter anti-semitism &am",jewish muslim social action trojan horse plot normalise zionism project increase meaningful contact promote relation help counter anti semitism,0.05,0.613,0.337,0.9022,0
donflynnmrn,"Confronting anti-Muslim prejudice in the Labour Party, and how it's not really happening. https://t.co/07ragkGHY4 via @Chartist48",confront anti muslim prejudice labour party happen,0.344,0.526,0.129,-0.5423,1
sundersays,@JulianSayarer Do you know this project well? I strongly disagree about the merits. That is a separate point to this Trojan horse attack. I think v important given CST data on distribution of casual anti-semitism + our data &amp; Hope Not Hate on  casual ,project strongly disagree merit separate trojan horse attack cst data distribution casual anti semitism data hope hate casual,0.15,0.508,0.342,0.8019,0
keewe,"@TonyStuart55 Yes, and I wonder if @nzherald would have pursued a story like this if it were any religion other than Christian. If the Tamaki's were muslim for example, our media would let them be because they view muslims as an ally in their anti-christi",yes wonder pursue story religion christian tamaki muslim example medium view muslims ally anti christi,0.049,0.839,0.112,0.4404,0
